periodo,anyo,mes,ipc_general,ipc_alimentacion,fuente,updated
2024-01,2024,1,3.4,0.4,INE/IPC,2026-04-05T14:08:46
2024-02,2024,2,2.8,1.1,INE/IPC,2026-04-05T14:08:46
2024-03,2024,3,3.2,1.3,INE/IPC,2026-04-05T14:08:46
2024-04,2024,4,3.3,1.7,INE/IPC,2026-04-05T14:08:46
2024-05,2024,5,3.6,1.9,INE/IPC,2026-04-05T14:08:46
2024-06,2024,6,3.4,2.9,INE/IPC,2026-04-05T14:08:46
2024-07,2024,7,2.8,2.6,INE/IPC,2026-04-05T14:08:46
2024-08,2024,8,2.3,2.8,INE/IPC,2026-04-05T14:08:46
2024-09,2024,9,1.5,2.7,INE/IPC,2026-04-05T14:08:46
2024-10,2024,10,1.8,3.1,INE/IPC,2026-04-05T14:08:46
2024-11,2024,11,2.4,3.4,INE/IPC,2026-04-05T14:08:46
2024-12,2024,12,2.8,3.4,INE/IPC,2026-04-05T14:08:46
2025-01,2025,1,2.9,0.7,INE/IPC,2026-04-05T14:08:46
2025-02,2025,2,3.0,1.2,INE/IPC,2026-04-05T14:08:46
2025-03,2025,3,2.3,1.6,INE/IPC,2026-04-05T14:08:46
2025-04,2025,4,2.2,1.8,INE/IPC,2026-04-05T14:08:46
2025-05,2025,5,2.0,2.0,INE/IPC,2026-04-05T14:08:46
2025-06,2025,6,2.3,2.9,INE/IPC,2026-04-05T14:08:46
2025-07,2025,7,2.7,2.6,INE/IPC,2026-04-05T14:08:46
2025-08,2025,8,2.7,2.8,INE/IPC,2026-04-05T14:08:46
2025-09,2025,9,3.0,2.8,INE/IPC,2026-04-05T14:08:46
2025-10,2025,10,3.1,3.0,INE/IPC,2026-04-05T14:08:46
2025-11,2025,11,3.0,3.3,INE/IPC,2026-04-05T14:08:46
2025-12,2025,12,2.9,3.4,INE/IPC,2026-04-05T14:08:46
